time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-22 00:00:00+00:00,209,27,142,10
2025-08-23 00:00:00+00:00,7,2,1,1
2025-08-24 00:00:00+00:00,2,2,2,2
2025-08-25 00:00:00+00:00,46,10,11,5
2025-08-26 00:00:00+00:00,173,34,279,15
2025-08-27 00:00:00+00:00,104,29,202,10
2025-08-28 00:00:00+00:00,271,32,373,14
2025-08-29 00:00:00+00:00,264,35,295,10
2025-08-30 00:00:00+00:00,6,3,9,4
2025-08-31 00:00:00+00:00,13,11,2,2
2025-09-01 00:00:00+00:00,122,11,187,11
2025-09-02 00:00:00+00:00,284,9,173,8
2025-09-03 00:00:00+00:00,352,17,224,19
2025-09-04 00:00:00+00:00,396,19,431,20
2025-09-05 00:00:00+00:00,212,15,408,20
2025-09-06 00:00:00+00:00,11,6,10,2
2025-09-07 00:00:00+00:00,6,6,1,1
2025-09-08 00:00:00+00:00,50,5,117,13
2025-09-09 00:00:00+00:00,246,14,80,17
2025-09-10 00:00:00+00:00,122,22,67,12
2025-09-11 00:00:00+00:00,105,13,164,14
2025-09-12 00:00:00+00:00,65,13,98,9
2025-09-13 00:00:00+00:00,16,13,13,7
2025-09-14 00:00:00+00:00,5,4,80,8
2025-09-15 00:00:00+00:00,265,11,105,14
2025-09-16 00:00:00+00:00,143,44,94,14
2025-09-17 00:00:00+00:00,58,19,97,11
2025-09-18 00:00:00+00:00,165,34,170,12
2025-09-19 00:00:00+00:00,90,27,155,11
2025-09-20 00:00:00+00:00,63,21,7,7
2025-09-21 00:00:00+00:00,24,21,7,5
2025-09-22 00:00:00+00:00,107,23,150,13
2025-09-23 00:00:00+00:00,197,32,154,6
2025-09-24 00:00:00+00:00,231,38,128,8
2025-09-25 00:00:00+00:00,158,25,201,18
